epoch,returns
0,-7.749
1,-4.667
2,-4.805
3,-4.804
4,-5.023
5,-4.538
6,-5.046
7,-4.097
8,-4.573
9,-5.38
10,-4.356
11,-4.583
12,-4.835
13,-4.701
14,-4.435
15,-4.053
16,-4.41
17,-4.652
18,-4.589
19,-4.451
20,-4.666
21,-4.495
22,-5.092
23,-5.161
24,-5.406
25,-4.501
26,-4.89
27,-4.725
28,-5.366
29,-5.113
30,-4.705
31,-4.422
32,-4.623
33,-4.739
34,-4.446
35,-4.331
36,-4.911
37,-4.603
38,-4.366
39,-4.187
40,-3.829
41,-4.559
42,-4.951
43,-4.681
44,-4.643
45,-4.388
46,-4.687
47,-4.833
48,-4.484
49,-4.159
50,-4.588
51,-3.89
52,-4.517
53,-4.146
54,-4.544
55,-4.095
56,-4.425
57,-4.548
58,-4.151
59,-3.588
60,-3.623
61,-4.726
62,-4.106
63,-3.851
64,-3.988
65,-3.708
66,-4.405
67,-4.055
68,-3.765
69,-4.038
70,-3.51
71,-3.545
72,-3.519
73,-3.708
74,-3.703
75,-3.303
76,-3.456
77,-3.781
78,-4.059
79,-3.242
80,-4.001
81,-3.777
82,-3.878
83,-3.047
84,-3.242
85,-3.289
86,-2.568
87,-2.9
88,-2.9
89,-3.062
90,-2.79
91,-3.304
92,-2.778
93,-3.49
94,-2.635
95,-2.992
96,-2.56
97,-2.817
98,-3.278
99,-2.507
100,-2.842
101,-3.101
102,-3.144
103,-3.14
104,-2.53
105,-2.62
106,-2.976
107,-2.425
108,-2.467
109,-2.355
110,-2.234
111,-2.661
112,-2.754
113,-2.822
114,-2.755
115,-2.576
116,-2.19
117,-2.757
118,-3.022
119,-2.874
120,-2.668
121,-3.178
122,-2.883
123,-2.132
124,-2.884
125,-2.34
126,-2.952
127,-2.319
128,-2.635
129,-2.057
130,-2.947
131,-1.986
132,-2.48
133,-2.222
134,-1.825
135,-2.06
136,-2.278
137,-2.182
138,-2.27
139,-2.238
140,-2.263
141,-2.071
142,-2.103
143,-2.414
144,-2.179
145,-1.931
146,-2.688
147,-2.262
148,-2.072
149,-1.878
150,-2.035
151,-1.883
152,-1.721
153,-1.986
154,-1.922
155,-2.162
156,-1.868
157,-1.989
158,-2.199
159,-1.945
160,-1.914
161,-2.073
162,-1.985
163,-1.925
164,-1.998
165,-2.121
166,-1.636
167,-2.236
168,-1.741
169,-1.711
170,-1.459
171,-1.698
172,-1.533
173,-1.614
174,-1.602
175,-1.375
176,-1.886
177,-1.36
178,-1.426
179,-1.622
180,-1.593
181,-1.597
182,-1.593
183,-1.654
184,-1.619
185,-1.572
186,-1.44
187,-1.124
188,-1.32
189,-1.392
190,-1.348
191,-1.339
192,-1.333
193,-1.087
194,-0.923
195,-1.055
196,-1.117
197,-0.843
198,-1.211
199,-0.8
200,-0.845
201,-0.912
202,-0.839
203,-0.568
204,-0.521
205,-0.805
206,-0.378
207,-0.693
208,-0.626
209,0.067
210,-0.589
211,-0.551
212,-0.361
213,0.374
214,0.018
215,0.211
216,-0.08
217,-0.471
218,0.226
219,0.226
220,-0.078
221,0.641
222,0.235
223,0.238
224,0.217
225,1.026
226,0.697
227,0.869
228,0.959
229,0.605
230,1.25
231,1.342
232,1.658
233,1.131
234,1.182
235,1.431
236,1.072
237,1.736
238,1.64
239,1.909
240,1.802
241,2.144
242,1.908
243,2.31
244,2.52
245,2.935
246,2.429
247,2.186
248,2.455
249,3.13
250,3.79
251,3.758
252,3.444
253,3.784
254,3.979
255,3.553
256,4.505
257,4.144
258,4.55
259,3.829
260,5.559
261,5.867
262,6.264
263,6.156
264,5.865
265,5.971
266,6.305
267,8.999
268,7.152
269,7.637
270,8.124
271,8.421
272,8.042
273,7.913
274,7.501
275,9.866
276,9.205
277,9.476
278,9.324
279,9.098
280,12.261
281,12.096
282,10.353
283,12.678
284,10.919
285,11.789
286,12.257
287,13.493
288,14.931
289,13.725
290,14.243
291,14.321
292,14.482
293,15.713
294,14.935
295,20.793
296,19.81
297,20.921
298,19.898
299,22.533
300,20.37
301,21.24
302,24.767
303,23.933
304,25.087
305,29.018
306,23.003
307,29.343
308,31.842
309,30.653
310,26.374
311,33.129
312,32.069
313,35.814
314,33.705
315,32.189
316,34.826
317,36.899
318,33.598
319,35.134
320,36.979
321,38.514
322,38.184
323,38.177
324,41.962
325,45.255
326,41.567
327,42.965
328,43.764
329,42.484
330,45.843
331,43.566
332,41.765
333,47.469
334,46.853
335,48.846
336,47.684
337,46.89
338,46.728
339,49.241
340,49.73
341,47.262
342,51.503
343,49.866
344,48.275
345,51.318
346,46.314
347,47.648
348,47.965
349,51.19
350,55.263
351,53.606
352,53.41
353,56.048
354,61.773
355,57.228
356,57.093
357,61.183
358,59.193
359,58.305
360,63.041
361,60.866
362,63.121
363,56.304
364,65.147
365,61.25
366,69.176
367,61.139
368,64.828
369,65.7
370,66.132
371,64.72
372,64.642
373,66.334
374,64.866
375,61.851
376,68.62
377,70.587
378,71.919
379,71.118
380,75.722
381,69.514
382,69.659
383,70.9
384,71.419
385,72.722
386,74.009
387,68.471
388,71.0
389,74.87
390,70.772
391,77.121
392,70.719
393,77.077
394,74.967
395,76.637
396,77.704
397,70.082
398,77.74
399,77.272
400,80.885
401,80.746
402,83.503
403,82.34
404,82.603
405,85.685
406,84.345
407,88.439
408,85.143
409,81.23
410,86.639
411,83.161
412,87.13
413,85.989
414,85.812
415,88.083
416,84.678
417,89.675
418,89.281
419,85.93
420,86.426
421,89.364
422,83.596
423,89.777
424,90.642
425,88.836
426,95.926
427,93.724
428,92.941
429,92.943
430,93.836
431,96.562
432,93.332
433,92.123
434,97.18
435,96.611
436,96.243
437,94.512
438,98.752
439,100.243
440,102.313
441,98.754
442,100.059
443,102.399
444,99.268
445,100.4
446,102.045
447,97.184
448,99.639
449,101.58
450,101.058
451,98.805
452,106.67
453,100.846
454,102.002
455,108.133
456,105.571
457,108.181
458,105.421
459,110.673
460,110.151
461,106.335
462,108.98
463,108.714
464,107.692
465,110.226
466,110.555
467,109.502
468,111.933
469,110.743
470,111.821
471,111.797
472,116.714
473,114.506
474,110.77
475,115.769
476,114.798
477,116.089
478,115.03
479,117.787
480,114.839
481,117.598
482,118.078
483,118.812
484,119.541
485,119.292
486,117.511
487,121.857
488,120.709
489,120.982
490,121.741
491,121.704
492,122.579
493,123.863
494,122.206
495,121.026
496,122.603
497,123.313
498,123.377
499,123.586
500,126.319
501,125.604
502,125.124
503,121.664
504,60.673
505,49.894
506,40.627
507,31.675
508,27.189
509,14.981
510,11.04
511,12.893
512,17.285
