epoch,episode length
0,24.0
1,39.36
2,37.57
3,34.21
4,33.88
5,35.56
6,36.79
7,36.72
8,38.76
9,38.6
10,38.73
11,41.71
12,42.0
13,42.71
14,45.24
15,44.22
16,46.33
17,49.64
18,49.91
19,51.2
20,48.41
21,50.13
22,47.79
23,49.5
24,50.08
25,49.77
26,49.12
27,48.97
28,50.67
29,51.26
30,47.87
31,48.69
32,48.49
33,47.77
34,46.72
35,46.81
36,48.34
37,46.23
38,46.4
39,48.07
40,47.49
41,45.16
42,45.29
43,45.01
44,43.66
45,43.71
46,43.47
47,43.01
48,42.58
49,41.71
50,43.11
51,42.65
52,42.22
53,41.81
54,41.14
55,41.66
56,41.06
57,41.48
58,40.06
59,40.76
60,41.25
61,42.31
62,41.33
63,42.12
64,42.99
65,42.02
66,43.49
67,42.99
68,43.44
69,44.08
70,43.94
71,44.96
72,45.14
73,44.7
74,45.73
75,45.57
76,46.13
77,46.29
78,44.99
79,46.08
80,46.1
81,46.7
82,46.46
83,47.76
84,49.1
85,49.18
86,51.98
87,51.95
88,53.84
89,52.4
90,55.86
91,55.23
92,57.17
93,59.55
94,59.53
95,58.54
96,62.53
97,64.06
98,64.96
99,64.81
100,70.2
101,70.85
102,72.85
103,73.99
104,78.13
105,82.05
106,79.22
107,79.01
108,87.5
109,89.14
110,89.75
111,94.18
112,99.36
113,98.31
114,102.78
115,107.51
116,112.29
117,115.27
118,122.9
119,130.33
120,129.7
121,147.01
122,151.94
123,157.95
124,159.82
125,168.28
126,179.62
127,183.52
128,184.15
129,186.91
130,209.66
131,213.78
132,210.41
133,215.17
134,223.27
135,235.57
136,254.52
137,271.68
138,283.87
139,282.24
140,303.29
141,317.93
142,317.04
143,339.57
144,341.54
145,338.89
146,353.61
147,345.86
148,363.57
149,363.52
150,364.26
151,377.44
152,384.09
153,402.21
154,426.41
155,418.94
156,399.56
157,412.32
158,421.54
159,466.11
160,514.37
161,562.88
162,643.48
163,678.81
164,747.8
165,768.71
166,859.08
167,897.61
168,942.87
169,957.33
170,963.06
171,965.61
172,983.84
173,1001.15
174,981.58
175,982.95
176,984.61
177,973.94
178,983.83
179,931.55
180,960.24
181,949.15
182,945.96
183,923.93
184,946.41
185,922.86
186,935.02
187,942.86
188,913.89
189,891.39
190,893.44
191,918.42
192,919.79
193,913.53
194,885.52
195,924.75
196,907.14
197,901.49
198,891.45
199,895.04
200,895.24
201,929.65
202,951.8
203,952.61
204,970.74
205,953.12
206,975.23
207,974.24
208,985.33
209,992.46
210,1002.0
211,996.45
212,993.42
213,1002.0
214,992.76
215,992.85
216,984.01
217,984.41
218,983.06
219,983.09
220,965.88
221,982.37
222,959.21
223,992.99
224,959.26
225,960.29
226,950.01
227,940.54
228,983.65
229,958.03
230,983.43
231,984.2
232,970.92
233,962.29
234,975.6
235,992.79
236,965.64
237,956.36
238,965.32
239,984.39
240,990.6
241,982.23
242,985.91
243,978.71
244,984.34
245,940.74
246,949.76
247,923.23
248,963.69
249,995.74
250,989.75
251,982.07
252,999.89
253,974.69
254,851.54
255,939.84
256,915.63
257,955.03
258,953.84
259,983.56
260,976.19
261,803.33
262,558.75
263,464.01
264,503.15
265,598.17
266,664.69
267,671.4
268,665.01
269,652.42
270,499.18
271,370.1
272,443.47
273,484.13
274,483.49
275,513.52
276,586.54
277,607.23
278,622.62
279,406.47
280,448.84
281,458.81
282,435.01
283,445.64
284,437.45
285,438.53
286,357.73
287,191.18
288,203.0
289,184.93
290,155.25
291,143.22
292,135.84
293,134.29
294,131.98
295,195.63
296,213.83
297,212.46
298,201.67
299,190.2
300,177.21
301,176.34
302,177.42
303,176.31
304,191.32
305,232.08
306,253.06
307,276.18
308,289.15
309,300.52
310,306.34
311,311.7
312,313.37
313,318.51
314,326.5
315,326.5
316,326.5
317,326.5
318,326.5
319,329.17
320,518.06
321,509.95
322,486.39
323,480.93
324,458.95
325,433.8
326,416.17
327,414.46
328,408.87
329,408.87
330,407.13
331,407.13
332,405.74
333,405.74
334,405.74
335,405.74
336,405.74
337,429.31
338,432.16
339,453.99
340,475.5
341,484.36
342,507.29
343,517.66
344,521.11
345,516.1
346,522.38
347,525.77
348,561.38
349,563.11
350,565.09
351,565.09
352,565.09
353,565.09
354,561.92
355,561.92
356,561.92
357,561.92
358,561.92
359,561.92
360,561.92
361,571.44
362,841.89
363,606.15
364,593.11
365,601.37
366,568.77
367,517.54
368,503.2
369,497.35
370,219.38
371,210.93
372,231.9
373,235.58
374,231.11
375,223.36
376,213.59
377,211.99
378,209.74
379,208.7
380,207.4
381,219.02
382,261.28
383,278.06
384,295.08
385,308.71
386,316.52
387,330.63
388,401.12
389,425.58
390,445.47
391,455.72
392,449.39
393,436.87
394,427.86
395,421.67
396,412.49
397,394.86
398,353.52
399,346.89
400,307.81
401,303.0
402,303.78
403,298.28
404,306.39
405,308.09
406,308.09
407,308.09
408,308.09
409,308.09
410,308.09
411,307.79
412,592.59
413,586.08
414,540.5
415,482.73
416,443.76
417,387.95
418,375.48
419,358.34
420,358.34
421,351.04
422,351.04
423,351.04
424,351.04
425,351.04
426,351.04
427,351.04
428,351.04
429,406.63
430,429.67
431,452.57
432,458.95
433,464.73
434,458.56
435,472.37
436,481.9
437,470.37
438,454.37
439,313.4
440,290.4
441,300.06
442,328.18
443,354.29
444,345.64
445,366.22
446,329.67
447,353.4
448,367.47
449,384.03
450,418.54
451,427.92
452,428.6
453,423.39
454,299.54
455,275.88
456,312.53
457,301.49
458,299.18
459,289.15
460,286.26
461,287.49
462,281.4
463,275.38
464,275.38
465,275.38
466,275.38
467,276.47
468,276.47
469,276.47
470,276.47
471,303.1
472,359.41
473,369.65
474,379.4
475,386.09
476,389.08
477,392.21
478,398.13
479,578.36
480,597.15
481,625.98
482,657.01
483,663.05
484,653.14
485,654.6
486,653.53
487,638.06
488,386.65
489,384.7
490,462.87
491,460.17
492,511.21
493,512.44
494,528.62
495,535.25
496,724.71
497,533.0
498,391.78
499,395.9
500,434.07
501,435.65
502,433.06
503,418.05
504,434.36
505,442.34
506,440.24
507,439.06
508,430.12
509,430.12
510,430.12
511,430.12
512,435.32
513,585.42
514,528.59
515,497.89
516,524.54
517,512.75
518,534.37
519,527.06
520,533.92
521,614.06
522,928.71
523,990.48
524,986.9
525,986.9
526,986.9
527,986.9
528,986.9
529,986.9
530,834.33
531,651.82
532,697.6
533,702.99
534,708.93
535,722.0
536,717.85
537,787.03
538,949.14
539,768.59
540,575.33
541,531.82
542,512.95
543,538.56
544,544.12
545,560.95
546,579.77
547,583.06
548,590.53
549,590.53
550,590.53
551,590.53
552,590.53
553,590.53
554,659.53
555,1002.0
556,1002.0
557,1002.0
558,1002.0
559,1002.0
560,1002.0
561,1002.0
562,1002.0
563,1002.0
564,1002.0
565,996.49
566,981.63
567,973.99
568,971.08
569,971.08
570,971.08
571,971.08
572,848.06
573,885.68
574,871.48
575,833.01
576,871.11
577,860.14
578,868.5
579,958.64
580,950.26
581,792.12
582,802.22
583,772.1
584,702.28
585,731.68
586,698.11
587,692.37
588,282.71
589,315.8
590,305.08
591,344.18
592,349.07
593,363.26
594,366.46
595,367.08
596,189.91
597,206.2
598,232.91
599,232.02
600,226.79
601,222.45
602,220.85
603,219.52
604,213.56
605,205.31
606,220.16
607,224.66
608,223.21
609,218.24
610,214.72
611,212.87
612,212.87
613,212.87
614,212.98
615,213.2
616,213.5
617,214.86
618,214.86
619,216.87
620,216.87
621,227.25
622,412.26
623,435.7
624,434.89
625,435.74
626,434.86
627,429.82
628,424.69
629,421.82
630,205.94
631,226.02
632,243.68
633,254.7
634,272.36
635,283.14
636,293.84
637,298.84
638,323.94
639,242.36
640,277.5
641,309.57
642,328.21
643,337.53
644,340.25
645,340.32
646,346.87
647,342.07
648,342.07
649,342.07
650,340.68
651,340.68
652,340.68
653,340.68
654,340.68
655,340.68
656,340.68
657,340.68
658,340.68
659,340.68
660,340.68
661,340.68
662,340.68
663,364.49
664,1002.0
665,1002.0
666,1002.0
667,1002.0
668,1002.0
669,1002.0
670,1002.0
671,1002.0
672,1002.0
673,1002.0
674,1002.0
675,992.58
676,992.58
677,992.58
678,992.58
679,992.58
680,1001.14
681,924.11
682,808.96
683,742.77
684,689.86
685,650.37
686,632.88
687,622.25
688,626.93
689,254.06
690,233.47
691,253.06
692,273.99
693,291.28
694,296.1
695,305.26
696,306.37
697,304.3
698,309.65
699,312.04
700,314.01
701,317.56
702,317.56
703,317.56
704,317.56
705,353.62
706,418.39
707,432.5
708,432.5
709,432.5
710,432.5
711,432.5
712,432.5
713,432.5
714,454.04
715,485.79
716,499.76
717,513.02
718,513.02
719,513.02
720,513.02
721,530.43
722,956.45
723,868.42
724,871.11
725,804.08
726,774.66
727,760.78
728,773.24
729,765.56
730,765.19
731,914.21
732,963.31
733,910.93
734,894.61
735,873.56
736,874.68
737,875.8
738,883.33
739,884.69
740,884.69
741,884.69
742,884.69
743,884.69
744,884.69
745,884.69
746,884.69
747,561.7
748,587.67
749,601.82
750,630.96
751,618.78
752,580.63
753,583.45
754,585.35
755,580.86
756,301.16
757,282.27
758,325.64
759,320.09
760,321.17
761,321.17
762,322.14
763,322.14
764,881.13
765,996.18
766,984.86
767,984.86
768,984.86
769,984.86
770,984.86
771,984.86
772,980.48
773,842.35
774,677.28
775,647.29
776,643.7
777,649.34
778,653.42
779,659.41
780,654.85
781,654.85
782,660.54
783,660.54
784,660.54
785,660.54
786,660.54
787,660.54
788,660.54
789,1002.0
790,1002.0
791,1002.0
792,992.61
793,964.53
794,937.5
795,937.5
796,937.5
797,915.86
798,325.88
799,247.78
800,297.67
801,301.91
802,300.54
803,306.05
804,303.84
805,303.22
806,309.4
807,310.4
808,312.17
809,312.17
810,312.17
811,312.17
812,312.17
813,312.17
814,312.17
815,323.39
816,327.41
817,346.52
818,357.38
819,366.49
820,369.19
821,369.19
822,371.75
823,586.94
824,626.09
825,636.77
826,652.0
827,661.25
828,664.39
829,671.95
830,669.28
831,890.16
832,911.84
833,790.59
834,778.86
835,756.03
836,754.71
837,747.45
838,755.81
839,758.04
840,695.67
841,712.68
842,668.51
843,646.41
844,640.45
845,652.19
846,645.45
847,646.42
848,638.09
849,638.09
850,638.09
851,638.09
852,638.09
853,638.09
854,638.09
855,638.09
856,635.94
857,606.8
858,556.33
859,553.33
860,553.63
861,566.58
862,566.58
863,566.58
864,566.58
865,1002.0
866,1002.0
867,1002.0
868,1002.0
869,1002.0
870,1002.0
871,1002.0
872,993.14
873,655.6
874,647.65
875,673.83
876,765.56
877,746.46
878,732.93
879,749.53
880,757.4
881,993.31
882,1002.0
883,1002.0
884,992.52
885,992.52
886,973.98
887,964.99
888,964.99
889,726.9
890,320.99
891,384.57
892,402.41
